ID,Text,Comment
Keystone.NeedGroup.Nature.DisplayName,Nature,"Header for the Keystone Nature need group in the wellbeing panel."
Keystone.Need.Nature.Forest.DisplayName,Forest,"Nature need flavor — filled by visiting a contemplation building surrounded by Forest biome."
Keystone.Need.Nature.Grassland.DisplayName,Grassland,"Nature need flavor — filled by visiting a contemplation building surrounded by Grassland biome."
Keystone.Need.Nature.Wetland.DisplayName,Wetland,"Nature need flavor — filled by visiting a contemplation building surrounded by Wetland biome (the Lido is the only vanilla source today)."
ToolGroup.Keystone.DisplayName,Keystone Dev Tools,Tooltip on the bottom-bar group button.
Tool.Keystone.Flourish.DisplayName,Class B: Force-Place Biome Flourish,
Tool.Keystone.Flourish.Description,"Force-places a Class B flourish appropriate to the clicked tile's biome -- bypasses the score/threshold gate the auto-spawn handler uses. Picks the biome with the highest score at the cursor (among biomes that have a registered Class B recipe) and spawns its first registered recipe. Useful for staging content without waiting for ecology dynamics to catch up.",
Tool.Keystone.Decoration.DisplayName,Class A: Reactive Decoration,
Tool.Keystone.Decoration.Description,"Spawns a Class A decoration -- non-blocking, non-persisted, with a moisture-driven controller. Sample uses a Dandelion clone (alive when moist, dry when not). Reactivity is the orthogonal axis -- the same Class A bucket also hosts purely passive content.",
Tool.Keystone.Particle.DisplayName,Class A: Particle Decoration,
Tool.Keystone.Particle.Description,"Spawns a Class A decoration carrying a Unity ParticleSystem. Passive (no ecology reactivity, no interaction) -- demonstrates the same registry can host non-mesh decorations like atmospheric effects.",
Tool.Keystone.CrossFactionFlora.DisplayName,Class D: Cross-Faction Flora,
Tool.Keystone.CrossFactionFlora.Description,"Spawns a Class D natural resource: vanilla flora from the OTHER faction (CoffeeBush in a Folktails game, Maple in IronTeeth). Plantable / Gatherable specs are stripped by Keystone's faction-strip patch so the active faction's UIs don't crash on it.",
Tool.Keystone.VanillaFlora.DisplayName,Class D: Active-Faction Flora,
Tool.Keystone.VanillaFlora.Description,"Spawns a Class D natural resource: a Pine, available natively in both factions. Full vanilla pipeline -- can be cut, planted, gathered (where applicable), and reacts to moisture/flood normally.",
Tool.Keystone.Rock.DisplayName,Class A: Keystone Rock,
Tool.Keystone.Rock.Description,"Spawns a Class A decoration cloning the Keystone-original Rock_medium_1 blueprint. End-to-end smoke test of the custom-mesh pipeline: Quaternius FBX -> Blender -> .timbermesh -> TimbermeshSpec -> KeystoneMaterialProvider resolves the KeystoneRock material -> rendered in-game. Retired once Class C rock spawning is wired through the recipe system.",
Tool.Keystone.RockCluster.DisplayName,Class C: Rock Cluster (inanimate),
Tool.Keystone.RockCluster.Description,"Spawns a random KeystoneRockCluster* inanimate Class C blueprint at the cursor. No lifecycle (rocks don't wither); runtime biome-driven re-tint via KeystoneRockTint adjusts material to mossy / dry / default based on the tile's dominant biome. Bypasses the Class C recipe gate so the cluster lands regardless of biome+level conditions -- useful for verifying tint behaviour across biomes.",
NaturalResource.KeystoneRockCluster.DisplayName,Rock Cluster,Shared display name for all KeystoneRockCluster* variants.
NaturalResource.KeystoneFlourish.DisplayName,Wild Plant,"Shared display name for all Keystone flourish blueprints. Surfaced only by vanilla's loading-issue cleanup path when a stale flourish is deleted on load; flourishes are non-selectable so it isn't shown in normal play."
